Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region,Severity_Score,extracted_value
20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,N73717,2.0,Turbo Jet,0.0,0.0,0.0,119.0,119.0,Boeing737,Ontario,California,100.0,Boeing
20020917X02151,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,XAMEJ,3.0,Turbo Jet,0.0,0.0,0.0,83.0,83.0,Boeing727,Harlingen,Texas,100.0,Boeing
20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,N7627U,3.0,Turbo Fan,0.0,0.0,0.0,108.0,108.0,Boeing727,Youngstown,Ohio,100.0,Boeing
20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,N32717,3.0,Turbo Fan,0.0,0.0,0.0,68.0,68.0,Boeing727,Austin,Texas,100.0,Boeing
20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,CGAAA,3.0,Turbo Fan,0.0,0.0,0.0,74.0,74.0,Boeing727,Flushing,New York,100.0,Boeing
20020917X04067,NYC82IA170,1982-07-28,"FLUSHING, NY",Incident,N64323,3.0,Turbo Fan,0.0,0.0,0.0,129.0,129.0,Boeing727,Flushing,New York,100.0,Boeing
20020917X03240,DEN82IA154,1982-08-05,"DENVER, CO",Incident,N7356F,2.0,Turbo Fan,0.0,0.0,0.0,102.0,102.0,Boeing737,Denver,Colorado,100.0,Boeing
20020917X03898,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",Incident,N7345F,2.0,Turbo Fan,0.0,0.0,33.0,0.0,33.0,Boeing737,North Platte,Nebraska,300.0,Boeing
20020917X04491,DCA82IA031,1982-09-02,"WASHINGTON, DC",Incident,N288WA,3.0,Turbo Fan,0.0,1.0,1.0,128.0,130.0,Boeing727,Washington,DC,110.00000000000001,Boeing
20020917X04699,FTW83LA033,1982-11-02,"AUSTIN, TX",Non-Fatal,N55SW,2.0,Turbo Fan,0.0,1.0,0.0,67.0,68.0,Boeing737,Austin,Texas,116.1764705882353,Boeing
20020917X04910,MIA83FA036,1982-11-27,"MIAMI, FL",Non-Fatal,HK284,4.0,Turbo Fan,0.0,0.0,0.0,116.0,116.0,Boeing707,Miami,Florida,100.0,Boeing
20020917X04570,DEN83LA026,1982-12-09,"DENVER, CO",Non-Fatal,N7346F,2.0,Turbo Fan,0.0,0.0,0.0,57.0,57.0,Boeing737,Denver,Colorado,100.0,Boeing
20020917X04672,FTW83IA086,1982-12-26,"MEMPHIS, TN",Incident,N6810,3.0,Turbo Fan,0.0,0.0,0.0,58.0,58.0,Boeing727,Memphis,Tennessee,100.0,Boeing
20020917X04343,ATL83IA085,1982-12-28,"WASHINGTON, DC",Incident,N752N,2.0,Turbo Jet,0.0,0.0,0.0,73.0,73.0,Boeing737,Washington,DC,100.0,Boeing
20001214X42478,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",Incident,9VSQQ,4.0,Turbo Fan,0.0,0.0,0.0,588.0,588.0,Boeing747,Los Angeles,California,100.0,Boeing
20001214X45013,CHI84IA041,1983-11-08,"CHICAGO, IL",Incident,N898AA,3.0,Turbo Fan,0.0,0.0,0.0,100.0,100.0,Boeing727,Chicago,Illinois,100.0,Boeing
20001213X30244,FTW87RA066,1987-02-14,"DURANGO, Mexico",Fatal(1),N712PC,4.0,Turbo Jet,1.0,0.0,3.0,131.0,135.0,Boeing707,Durango,Mexico,122.22222222222223,Boeing
20001213X25535,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Non-Fatal,N510EA,2.0,Unknown,0.0,1.0,0.0,192.0,193.0,Boeing757,San Jose,Costa Rica,105.69948186528497,Boeing
20001213X25661,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Incident,N157UA,4.0,Turbo Fan,0.0,0.0,0.0,258.0,258.0,Boeing747,Nr Tokyo,Japan,100.0,Boeing
